timestamp,x,y,z,qx,qy,qz,qw
1670332794.029311,0.518243,-0.594498,-0.328362,0.657797,-0.343299,0.296801,-0.601131
1670332794.079300,0.520439,-0.595423,-0.338323,0.659149,-0.344765,0.295562,-0.599419
1670332794.129304,0.523787,-0.595482,-0.344969,0.659826,-0.344521,0.294375,-0.599398
1670332794.179309,0.523695,-0.592985,-0.341815,0.660976,-0.343072,0.294151,-0.599073
1670332794.229328,0.520808,-0.588415,-0.330708,0.662504,-0.340641,0.294706,-0.598498
1670332794.279367,0.519991,-0.585788,-0.31437,0.663165,-0.337737,0.295418,-0.59906
1670332794.329437,0.520897,-0.584785,-0.293657,0.663098,-0.334436,0.296259,-0.60057
1670332794.379581,0.522117,-0.583612,-0.271267,0.661212,-0.331488,0.297395,-0.603714
1670332794.429316,0.52357,-0.582324,-0.247685,0.657806,-0.328855,0.298761,-0.608183
1670332794.479270,0.523312,-0.583224,-0.218305,0.653254,-0.32759,0.298968,-0.613647
1670332794.529285,0.521635,-0.585967,-0.184199,0.647743,-0.32745,0.298204,-0.619904
1670332794.579342,0.521635,-0.588961,-0.152703,0.643787,-0.328425,0.297803,-0.62369
1670332794.629289,0.523056,-0.592127,-0.123492,0.641171,-0.330347,0.297718,-0.625408
1670332794.679319,0.526345,-0.591678,-0.0946357,0.639689,-0.333075,0.297935,-0.625375
1670332794.729429,0.531225,-0.588137,-0.0660792,0.639175,-0.336493,0.298409,-0.623843
1670332794.779312,0.536645,-0.586181,-0.0396513,0.638564,-0.339164,0.298367,-0.623042
1670332794.829333,0.542546,-0.585505,-0.0147914,0.637871,-0.341245,0.297905,-0.622836
1670332794.879283,0.54577,-0.584814,0.0143353,0.637355,-0.341708,0.297477,-0.623315
1670332794.929307,0.546796,-0.584109,0.0470551,0.636985,-0.34084,0.297076,-0.62436
1670332794.979277,0.546942,-0.583615,0.0753592,0.635292,-0.338687,0.296952,-0.627308
1670332795.029332,0.546334,-0.583314,0.100041,0.632471,-0.335444,0.29705,-0.631837
1670332795.079299,0.546929,-0.584533,0.125675,0.628358,-0.331197,0.298391,-0.637525
1670332795.129319,0.548464,-0.587023,0.152135,0.623142,-0.326098,0.300734,-0.644138
1670332795.179469,0.543329,-0.590001,0.176626,0.618227,-0.319944,0.302821,-0.650946
1670332795.229307,0.532815,-0.593364,0.199304,0.613576,-0.312976,0.304673,-0.657833
1670332795.279308,0.528915,-0.596599,0.221363,0.610397,-0.306432,0.306152,-0.663163
1670332795.329309,0.530568,-0.5997,0.242852,0.608472,-0.300268,0.307324,-0.667198
1670332795.379276,0.531056,-0.599967,0.257987,0.607438,-0.29521,0.309776,-0.66926
1670332795.429279,0.530576,-0.597811,0.267759,0.607167,-0.29109,0.313321,-0.66966
1670332795.479349,0.527305,-0.59519,0.280205,0.60686,-0.289587,0.314853,-0.669872
1670332795.529555,0.521601,-0.592163,0.295008,0.606531,-0.290371,0.314639,-0.669931
1670332795.579327,0.521132,-0.593521,0.305935,0.606355,-0.291453,0.312911,-0.670429
1670332795.629332,0.524875,-0.598427,0.313868,0.606294,-0.292787,0.309941,-0.671282
1670332795.679303,0.531599,-0.602927,0.320797,0.606534,-0.295324,0.307067,-0.671275
1670332795.729337,0.540892,-0.607085,0.326867,0.607027,-0.298896,0.304266,-0.670523
1670332795.779302,0.54629,-0.610196,0.331771,0.608169,-0.301613,0.302181,-0.669214
1670332795.829336,0.548331,-0.612413,0.335681,0.609877,-0.303598,0.300709,-0.667422
1670332795.879353,0.548174,-0.615361,0.331383,0.610844,-0.30483,0.299472,-0.666532
1670332795.929376,0.546191,-0.618919,0.320247,0.611198,-0.305438,0.298431,-0.666396
1670332795.979358,0.545611,-0.620594,0.314053,0.612096,-0.305962,0.298439,-0.665327
1670332796.029308,0.54619,-0.620719,0.31194,0.613441,-0.306417,0.299313,-0.663483
1670332796.079266,0.54809,-0.618308,0.307573,0.615297,-0.306408,0.299917,-0.661493
1670332796.129293,0.551098,-0.613772,0.301309,0.617582,-0.306008,0.300295,-0.659375
1670332796.179251,0.553903,-0.612074,0.292975,0.620316,-0.307185,0.299354,-0.656682
1670332796.229307,0.556533,-0.612711,0.282907,0.62342,-0.309659,0.29732,-0.653498
1670332796.279279,0.557376,-0.613003,0.271262,0.626188,-0.313091,0.295602,-0.649986
1670332796.331323,0.556678,-0.613013,0.257723,0.628772,-0.317507,0.294083,-0.646027
1670332796.379325,0.560006,-0.612967,0.242007,0.630563,-0.32258,0.29255,-0.642453
1670332796.429327,0.56674,-0.612878,0.222959,0.631929,-0.328683,0.29084,-0.638784
1670332796.479333,0.570067,-0.612128,0.198592,0.633954,-0.334593,0.290381,-0.633899
1670332796.529278,0.570549,-0.610859,0.169848,0.636508,-0.340328,0.290951,-0.627999
1670332796.579314,0.571667,-0.606737,0.139702,0.63905,-0.344755,0.290898,-0.623007
1670332796.629336,0.57333,-0.600212,0.108437,0.64159,-0.348081,0.290326,-0.6188
1670332796.679347,0.573872,-0.597655,0.0813863,0.643221,-0.350196,0.289241,-0.616416
1670332796.729343,0.573528,-0.598265,0.0577174,0.644136,-0.351347,0.287751,-0.615503
1670332796.779454,0.5703,-0.596673,0.0305869,0.646035,-0.351756,0.286626,-0.613801
1670332796.829327,0.564688,-0.593266,0.000755133,0.648736,-0.351542,0.285813,-0.61145
1670332796.879305,0.562848,-0.58849,-0.0297806,0.651915,-0.350763,0.284248,-0.609242
1670332796.929308,0.564214,-0.582563,-0.0608762,0.65549,-0.349501,0.282041,-0.607154
1670332796.979268,0.562526,-0.58254,-0.0872772,0.657662,-0.348633,0.279492,-0.606481
1670332797.029480,0.558354,-0.587305,-0.110012,0.658713,-0.348082,0.276652,-0.606959
1670332797.079370,0.554636,-0.588002,-0.133561,0.65876,-0.347131,0.275146,-0.608137
1670332797.129405,0.551257,-0.585392,-0.157967,0.65799,-0.345844,0.274715,-0.609895
1670332797.179297,0.549875,-0.58442,-0.181077,0.657013,-0.343614,0.274465,-0.612317
1670332797.229349,0.55015,-0.58482,-0.203234,0.655849,-0.340576,0.274362,-0.615301
1670332797.279331,0.548724,-0.584804,-0.225307,0.65573,-0.337569,0.274336,-0.617094
1670332797.329464,0.54594,-0.584453,-0.247405,0.656448,-0.334575,0.274371,-0.617945
1670332797.379323,0.542905,-0.58146,-0.267103,0.658246,-0.332112,0.274892,-0.617129
1670332797.429452,0.539641,-0.576323,-0.285068,0.660926,-0.330049,0.275808,-0.614959
1670332797.479324,0.535565,-0.573397,-0.300264,0.663474,-0.328868,0.276342,-0.612604
1670332797.529407,0.530783,-0.572265,-0.313313,0.665935,-0.328401,0.276568,-0.610076
